CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.372439811509187 ; 0.496666666666667 ;  ; 0.372086267860968 ; 0.07 ; 
NPathComplexity ; 0.212475279092107 ; 0.883333333333333 ;  ; 0.456404450136333 ; 0.03 ; *
ExcessiveMethodLength ; 0.119469795422666 ; 0.966666666666667 ;  ; 0.439115418080768 ; 0.0466666666666667 ; *
ExcessiveClassLength ; 0.133720986585378 ; 0.846666666666667 ;  ; 0.33251275144783 ; 0.136666666666667 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
TooManyFields ; 0.208148844913858 ; 0.766666666666667 ;  ; 0.27287550054184 ; 0 ; *
TooManyMethods ; 0.208148844913858 ; 0.766666666666667 ;  ; 0.27287550054184 ; 0 ; *
TooManyPublicMethods ; 0.208148844913858 ; 0.753333333333333 ;  ; 0.27287550054184 ; 0 ; *
ExcessiveClassComplexity ; 0.176203162454613 ; 0.846666666666667 ;  ; 0.426115074862952 ; 0 ; *
NumberOfChildren ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.208148844913858 ; 0.753333333333333 ;  ; 0.27287550054184 ; 0 ; *
DevelopmentCodeFragment ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedLocalVariable ; 0.176203162454613 ; 0.846666666666667 ;  ; 0.426115074862952 ; 0 ; *
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.113516647600695 ; 0.696666666666667 ;  ; 0.0491668292250384 ; 0.00666666666666667 ; *
embed.JS ; 0.49328184127412 ; 0.00666666666666667 ; * ; 0.187373612368472 ; 0.00333333333333333 ; *
inline.JS ; 0.324170585643499 ; 0.13 ;  ; 0.212221043294157 ; 0.00333333333333333 ; *
embed.CSS ; 0.254088286176243 ; 0.306666666666667 ;  ; 0.0236003778894065 ; 0.01 ; *
inline.CSS ; 0.316777849834444 ; 0.15 ;  ; 0.19913852419682 ; 0.79 ; 
css.in.JS ; 0.424110252229865 ; 0.00333333333333333 ; * ; 0.113526060520326 ; 0.966666666666667 ; 
css.in.JS..jquery ; 0.327783974623653 ; 0.09 ;  ; 0.00665239488628357 ; 1 ; 
max.lines ; 0.250725117516738 ; 0.45 ;  ; 0.170629163709092 ; 0.916666666666667 ; 
max.lines.per.function ; 0.434628111021936 ; 0.02 ; * ; 0.0602397931074365 ; 0.996666666666667 ; 
max.params ; 0.449753382597138 ; 0.0233333333333333 ; * ; 0.201680059777373 ; 0.843333333333333 ; 
complexity ; 0.203478169704199 ; 0.746666666666667 ;  ; 0.269265280860601 ; 0.353333333333333 ; 
max.depth ; 0.424110252229865 ; 0 ; * ; 0.226674816744678 ; 0.573333333333333 ; 
max.nested.callbacks ; 0.169995365233124 ; 0 ; * ; 0.199246203372397 ; 0.8 ; 
