CS; r^2; p; issig
CyclomaticComplexity ; 0.0164033268328742 ; 0.532944532827697 ; 
NPathComplexity ; 0.00306793922751741 ; 0.788125579619398 ; 
ExcessiveMethodLength ; 0.0113104006466365 ; 0.60509824200654 ; 
ExcessiveClassLength ; 0.0202688477972575 ; 0.487817047553372 ; 
ExcessiveParameterList ; 0.00525784049185849 ; 0.724827192739789 ; 
ExcessivePublicCount ; 0.0111715071697222 ; 0.607335782911681 ; 
TooManyFields ; 1 ;  all cs=1 ; 
TooManyMethods ; 0.0130460948871993 ; 0.578492791520622 ; 
TooManyPublicMethods ; 0.00396765157624136 ; 0.759839839400894 ; 
ExcessiveClassComplexity ; 1.38629323558704e-05 ; 0.985597809050146 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2
DevelopmentCodeFragment ; 0.00219207046415378 ; 0.820332886803663 ; 
UnusedPrivateField ; 0.00815527064511952 ; 0.660859746305254 ; 
UnusedLocalVariable ; 0.0138076235356037 ; 0.567536392052292 ; 
UnusedPrivateMethod ; 0.0170117299280658 ; 0.525380358933155 ; 
UnusedFormalParameter ; 0.00529835285430958 ; 0.723809629644616 ; 
embed.JS ; 0.0152825672275124 ; 0.547395025374793 ; 
inline.JS ; 0.003343075165847 ; 0.779050323542242 ; 
embed.CSS ; 0.00102583019812583 ; 0.876567581848582 ; 
inline.CSS ; 0.00560329350600493 ; 0.716286260971176 ; 
css.in.JS ; 3.79586542924751e-05 ; 0.976170328893698 ; 
css.in.JS..jquery ; 0.00013262190755033 ; 0.955473396664014 ; 
max.lines ; 0.00418585198146737 ; 0.753519834656437 ; 
max.lines.per.function ; 0.0224273412978456 ; 0.465271127453321 ; 
max.params ; 0.0101655282123212 ; 0.624082589177373 ; 
complexity ; 0.00908551742603285 ; 0.643233995119814 ; 
max.depth ; 0.00503553942292581 ; 0.730490205323126 ; 
max.nested.callbacks ; 0.0151314210532787 ; 0.54939795072677 ; 
