CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.133428777692829 ; 0.146666666666667 ;  ; 0.0592846740440829 ; 0.686666666666667 ; 
NPathComplexity ; 0.133477461075364 ; 0.133333333333333 ;  ; 0.0771595774064875 ; 0.476666666666667 ; 
ExcessiveMethodLength ; 0.192400702900758 ; 0.0133333333333333 ; * ; 0.12787347839289 ; 0.0866666666666667 ; 
ExcessiveClassLength ; 0.0154708427946312 ; 0.61 ;  ; 0.0235879184266276 ; 0.13 ; 
ExcessiveParameterList ; 0.157343749762807 ; 0 ; * ; 0.0435193877347438 ; 0.86 ; 
ExcessivePublicCount ; 0 ; 0 ;  ; 0 ; 0 ; 
TooManyFields ; 0.0440046697996311 ; 0.103333333333333 ;  ; 0.0725136693356207 ; 0.0333333333333333 ; *
TooManyMethods ; 0.0568383615744052 ; 0.773333333333333 ;  ; 0.129597860480073 ; 0.163333333333333 ; 
TooManyPublicMethods ; 0.0447965161355151 ; 0.693333333333333 ;  ; 0.196987284202174 ; 0.01 ; *
ExcessiveClassComplexity ; 0.313657073413684 ; 0 ; * ; 0.112376450913389 ; 0.146666666666667 ; 
NumberOfChildren ; 0.100999991323325 ; 0.36 ;  ; 0.178462959696232 ; 0.0266666666666667 ; *
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.213187763140788 ; 0.0366666666666667 ; * ; 0.142718160612153 ; 0.0566666666666667 ; 
DevelopmentCodeFragment ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.0748689611779044 ; 0.513333333333333 ;  ; 0.12505370787157 ; 0.12 ; 
UnusedPrivateMethod ; 0.0726431917720451 ; 0.09 ;  ; 0.0858574072998079 ; 0.0433333333333333 ; *
UnusedFormalParameter ; 0.0553982385055871 ; 0.723333333333333 ;  ; 0.148158024285475 ; 0.0633333333333333 ; 
embed.JS ; 0.0881962524150899 ; 0.316666666666667 ;  ; 0.0911494875121863 ; 0.303333333333333 ; 
inline.JS ; 0 ; 0 ;  ; 0 ; 0 ; 
embed.CSS ; 0.148407738754235 ; 0 ; * ; 0.0794996501635137 ; 0.483333333333333 ; 
inline.CSS ; 0.143684224852292 ; 0.01 ; * ; 0.0441186394258036 ; 0.82 ; 
css.in.JS ; 0.187192366667617 ; 0.06 ;  ; 0.0943105739383635 ; 0.33 ; 
css.in.JS..jquery ; 0.0759979215179779 ; 0.37 ;  ; 0.128311927392378 ; 0.123333333333333 ; 
max.lines ; 0.133477461075364 ; 0.0933333333333333 ;  ; 0.0872493267585448 ; 0.37 ; 
max.lines.per.function ; 0.0714348174489852 ; 0.466666666666667 ;  ; 0.0605381544029796 ; 0.7 ; 
max.params ; 0.1007810295129 ; 0.193333333333333 ;  ; 0.0902788797154134 ; 0.32 ; 
complexity ; 0.106419702813207 ; 0.16 ;  ; 0.0794922886846509 ; 0.46 ; 
max.depth ; 0.106419702813207 ; 0.16 ;  ; 0.0794922886846509 ; 0.46 ; 
max.nested.callbacks ; 0.138456974746808 ; 0.12 ;  ; 0.0541048225807554 ; 0.763333333333333 ; 
