CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.525845443290666 ; 0.126666666666667 ;  ; 0.496389550870554 ; 0.183333333333333 ; 
NPathComplexity ; 0.233674090320796 ; 0.983333333333333 ;  ; 0.43804219414742 ; 0.376666666666667 ; 
ExcessiveMethodLength ; 0.523944543680388 ; 0.33 ;  ; 0.457152627317038 ; 0.283333333333333 ; 
ExcessiveClassLength ; 0.488497220557262 ; 0.24 ;  ; 0.276260272387597 ; 0.796666666666667 ; 
ExcessiveParameterList ; 0.409583888560223 ; 0.49 ;  ; 0.408283570499298 ; 0.466666666666667 ; 
ExcessivePublicCount ; 0.437537683013777 ; 0.683333333333333 ;  ; 0.494051237711493 ; 0.206666666666667 ; 
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.437537683013777 ; 0.683333333333333 ;  ; 0.494051237711493 ; 0.206666666666667 ; 
TooManyPublicMethods ; 0.523944543680388 ; 0.333333333333333 ;  ; 0.457152627317038 ; 0.253333333333333 ; 
ExcessiveClassComplexity ; 0.514910766701806 ; 0.143333333333333 ;  ; 0.173653985967823 ; 0.973333333333333 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.465116046659389 ; 0.323333333333333 ;  ; 0.423174912310792 ; 0.53 ; 
UnusedPrivateField ; 0.525845443290666 ; 0.323333333333333 ;  ; 0.562642342412322 ; 0.0933333333333333 ; 
UnusedLocalVariable ; 0.336242326699175 ; 0.836666666666667 ;  ; 0.473541920405466 ; 0.256666666666667 ; 
UnusedPrivateMethod ; 0.525845443290666 ; 0 ; * ; 0.465471656577635 ; 0.246666666666667 ; 
UnusedFormalParameter ; 0.440648799802401 ; 0.67 ;  ; 0.408059131363897 ; 0.433333333333333 ; 
embed.JS ; 0.344018109456998 ; 0.383333333333333 ;  ; 0.337954662899035 ; 0.33 ; 
inline.JS ; 0.525845443290666 ; 0 ; * ; 0.379252601541944 ; 0.346666666666667 ; 
embed.CSS ; 0.406419133976119 ; 0.756666666666667 ;  ; 0.462932688673837 ; 0.283333333333333 ; 
inline.CSS ; 0.523944543680388 ; 0.343333333333333 ;  ; 0.377163896300744 ; 0.446666666666667 ; 
css.in.JS ; 0.576541822624337 ; 0.333333333333333 ;  ; 0.499191345996997 ; 0.34 ; 
css.in.JS..jquery ; 0.514910766701806 ; 0.18 ;  ; 0.173653985967823 ; 0.976666666666667 ; 
max.lines ; 0.523944543680388 ; 0 ; * ; 0.45680490108016 ; 0.22 ; 
max.lines.per.function ; 0.357837029924909 ; 0.636666666666667 ;  ; 0.505520926970709 ; 0.186666666666667 ; 
max.params ; 0.525845443290666 ; 0 ; * ; 0.463663469561183 ; 0.176666666666667 ; 
complexity ; 0.525845443290666 ; 0 ; * ; 0.564956977717972 ; 0.116666666666667 ; 
max.depth ; 0.523944543680388 ; 0.33 ;  ; 0.457152627317038 ; 0.283333333333333 ; 
max.nested.callbacks ; 0.455869955983462 ; 0.656666666666667 ;  ; 0.694871846676322 ; 0.0133333333333333 ; *
