CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.372439811509187 ; 0.496666666666667 ;  ; 0.372086267860968 ; 0.07 ; 
NPathComplexity ; 0.372439811509187 ; 0.496666666666667 ;  ; 0.372086267860968 ; 0.07 ; 
ExcessiveMethodLength ; 0.372439811509187 ; 0.496666666666667 ;  ; 0.372086267860968 ; 0.07 ; 
ExcessiveClassLength ; 0.199784152091939 ; 0.823333333333333 ;  ; 0.313589262681338 ; 0.126666666666667 ; 
ExcessiveParameterList ; 0.218754630665858 ; 0.5 ;  ; 0.113495515681591 ; 0.753333333333333 ; 
ExcessivePublicCount ; 0.117589681156702 ; 0.79 ;  ; 0.126196120628289 ; 0.56 ; 
TooManyFields ; 0.164134370659662 ; 0.936666666666667 ;  ; 0.298577614892466 ; 0.103333333333333 ; 
TooManyMethods ; 0.164134370659662 ; 0.936666666666667 ;  ; 0.298577614892466 ; 0.103333333333333 ; 
TooManyPublicMethods ; 0.269576621864739 ; 0.713333333333333 ;  ; 0.298577614892466 ; 0.116666666666667 ; 
ExcessiveClassComplexity ; 0.21586578670275 ; 0.856666666666667 ;  ; 0.326379470347692 ; 0.0533333333333333 ; 
NumberOfChildren ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.269576621864739 ; 0.713333333333333 ;  ; 0.298577614892466 ; 0.116666666666667 ; 
DevelopmentCodeFragment ; 0.117589681156702 ; 0.79 ;  ; 0.126196120628289 ; 0.56 ; 
UnusedPrivateField ; 0.249328722047589 ; 0 ; * ; 0 ; 1 ; 
UnusedLocalVariable ; 0.21586578670275 ; 0.856666666666667 ;  ; 0.326379470347692 ; 0.0533333333333333 ; 
UnusedPrivateMethod ; 0.218754630665858 ; 0.5 ;  ; 0.113495515681591 ; 0.753333333333333 ; 
UnusedFormalParameter ; 0.117589681156702 ; 0.79 ;  ; 0.126196120628289 ; 0.56 ; 
embed.JS ; 0.412266347517691 ; 0.15 ;  ; 0.187373612368472 ; 0.833333333333333 ; 
inline.JS ; 0.410214937704895 ; 0.133333333333333 ;  ; 0.386512136565293 ; 0.0933333333333333 ; 
embed.CSS ; 0.484632175252017 ; 0.0433333333333333 ; * ; 0.113716261634518 ; 0.966666666666667 ; 
inline.CSS ; 0.403611733016073 ; 0.16 ;  ; 0.252228629571811 ; 0.573333333333333 ; 
css.in.JS ; 0.38576535201249 ; 0.06 ;  ; 0.157323217839877 ; 0.846666666666667 ; 
css.in.JS..jquery ; 0.484632175252017 ; 0.0433333333333333 ; * ; 0.113716261634518 ; 0.966666666666667 ; 
max.lines ; 0.3264244217667 ; 0.546666666666667 ;  ; 0.277223145047733 ; 0.576666666666667 ; 
max.lines.per.function ; 0.361281175042047 ; 0.393333333333333 ;  ; 0.235382931174637 ; 0.616666666666667 ; 
max.params ; 0.31772918451083 ; 0.676666666666667 ;  ; 0.26593827112718 ; 0.513333333333333 ; 
complexity ; 0.209613551498219 ; 0.91 ;  ; 0.351070329387802 ; 0.13 ; 
max.depth ; 0.257862915064471 ; 0 ; * ; 0.174992865523851 ; 0.713333333333333 ; 
max.nested.callbacks ; 0.362521497920848 ; 0 ; * ; 0.34651876203002 ; 0.283333333333333 ; 
