CS; r^2; p; issig
CyclomaticComplexity ; 0.100651193367683 ; 0.0820238518271365 ; 
NPathComplexity ; 0.140611260371913 ; 0.0376594768436404 ; *
ExcessiveMethodLength ; 0.0247144277065541 ; 0.398334918967848 ; 
ExcessiveClassLength ; 0.0403504884240529 ; 0.278563464544667 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2
ExcessivePublicCount ; 0.000176173385762283 ; 0.943503463455066 ; 
TooManyFields ; 0.23409117809794 ; 0.00582113875557564 ; *
TooManyMethods ; 0.000833130493682699 ; 0.877502782089613 ; 
TooManyPublicMethods ; 0.0997166503727586 ; 0.083536188949264 ; 
ExcessiveClassComplexity ; 0.0256392898934928 ; 0.389535167064784 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2
DevelopmentCodeFragment ; 0.301777180737736 ; 0.00137083601952946 ; *
UnusedPrivateField ; 0 ; 0 ; 
UnusedLocalVariable ; 0.0111016319457523 ; 0.572679330554075 ; 
UnusedPrivateMethod ; 0 ; 0 ; 
UnusedFormalParameter ; 0.26066711213333 ; 0.00333897398365322 ; *
embed.JS ; 0.00313834878266125 ; 0.764689126099455 ; 
inline.JS ; 0.158522997843405 ; 0.0265321668929009 ; *
embed.CSS ; 0 ; 0 ; unique <=2
inline.CSS ; 0.0993295450192785 ; 0.0841709555914132 ; 
css.in.JS ; 0.00469472380558974 ; 0.714181412216732 ; 
css.in.JS..jquery ; 0.112498858474122 ; 0.065099188081685 ; 
max.lines ; 0.198714436443446 ; 0.0119596380073654 ; *
max.lines.per.function ; 0.0304550744330393 ; 0.347753796259138 ; 
max.params ; 0.0646110460515197 ; 0.167622958874952 ; 
complexity ; 0.00735088753468986 ; 0.646525555622483 ; 
max.depth ; 0.304512392618505 ; 0.0012901100850521 ; *
max.nested.callbacks ; 0 ; 0 ; unique <=2
