CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.171845884613308 ; 0 ; * ; 0.226300834773741 ; 0.0166666666666667 ; *
NPathComplexity ; 0.202775004325435 ; 0.0266666666666667 ; * ; 0.228286855628359 ; 0.0466666666666667 ; *
CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0480296130252672 ; 0.856666666666667 ;  ; 0.0480296130252672 ; 0.876666666666667 ; 
NPathComplexity ; 0.0480296130252672 ; 0.863333333333333 ;  ; 0.0480296130252672 ; 0.83 ; 
ExcessiveMethodLength ; 0.0891539853927676 ; 0.0833333333333333 ;  ; 0.048029613025268 ; 0.803333333333333 ; 
ExcessiveClassLength ; 0.171845884613308 ; 0.06 ;  ; 0.207607327623362 ; 0.08 ; 
ExcessiveParameterList ; 0.0891539853927676 ; 0.0833333333333333 ;  ; 0.048029613025268 ; 0.813333333333333 ; 
ExcessivePublicCount ; 0.140593579587554 ; 0.1 ;  ; 0.0338814678635642 ; 0.763333333333333 ; 
TooManyFields ; 0.202775004325435 ; 0.0266666666666667 ; * ; 0.228286855628359 ; 0.0666666666666667 ; 
TooManyMethods ; 0.140486650700362 ; 0.103333333333333 ;  ; 0.0342151835891185 ; 0.753333333333333 ; 
TooManyPublicMethods ; 0.0480296130252672 ; 0.863333333333333 ;  ; 0.0480296130252672 ; 0.85 ; 
ExcessiveClassComplexity ; 0.0480296130252672 ; 0.863333333333333 ;  ; 0.0480296130252672 ; 0.843333333333333 ; 
NumberOfChildren ; 0.164759316137113 ; 0.0666666666666667 ;  ; 0.0631829659266571 ; 0.713333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.164759316137113 ; 0.0666666666666667 ;  ; 0.0631829659266571 ; 0.713333333333333 ; 
DevelopmentCodeFragment ; 0.176889644506526 ; 0.116666666666667 ;  ; 0.26562889941509 ; 0.0633333333333333 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.171845884613308 ; 0 ; * ; 0.226300834773741 ; 0.00333333333333333 ; *
NPathComplexity ; 0.202775004325435 ; 0.0366666666666667 ; * ; 0.228286855628359 ; 0.0266666666666667 ; *
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.309023334352426 ; 0 ; * ; 0.255143695386316 ; 0.25 ; 
NPathComplexity ; 0.322724358780629 ; 0.0266666666666667 ; * ; 0.333348413279049 ; 0.1 ; 
ExcessiveMethodLength ; 0.309023334352426 ; 0 ; * ; 0.255143695386316 ; 0.25 ; 
ExcessiveClassLength ; 0.309023334352426 ; 0.03 ; * ; 0.281324752307902 ; 0.166666666666667 ; 
ExcessiveParameterList ; 0.309023334352426 ; 0 ; * ; 0.255143695386316 ; 0.25 ; 
ExcessivePublicCount ; 0.248559976241966 ; 0 ; * ; 0.0670888040323324 ; 0.896666666666667 ; 
TooManyFields ; 0.289506411973268 ; 0 ; * ; 0.265280895991136 ; 0.173333333333333 ; 
TooManyMethods ; 0.24587431948303 ; 0 ; * ; 0.0675939199003857 ; 0.883333333333333 ; 
TooManyPublicMethods ; 0.309023334352426 ; 0 ; * ; 0.255143695386316 ; 0.25 ; 
ExcessiveClassComplexity ; 0.309023334352426 ; 0 ; * ; 0.255143695386316 ; 0.25 ; 
NumberOfChildren ; 0.259096831669999 ; 0 ; * ; 0.144921784002827 ; 0.77 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.259096831669999 ; 0 ; * ; 0.144921784002827 ; 0.77 ; 
DevelopmentCodeFragment ; 0.23435938724735 ; 0.09 ;  ; 0.310958652037497 ; 0.0333333333333333 ; *
