CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.220516381659997 ; 0.936666666666667 ;  ; 0.358113757606453 ; 0.28 ; 
NPathComplexity ; 0.220516381659997 ; 0.936666666666667 ;  ; 0.358113757606453 ; 0.28 ; 
ExcessiveMethodLength ; 0.220516381659997 ; 0.936666666666667 ;  ; 0.358113757606453 ; 0.28 ; 
ExcessiveClassLength ; 0.1759870648231 ; 0.99 ;  ; 0.409438904883195 ; 0.126666666666667 ; 
ExcessiveParameterList ; 0.220516381659997 ; 0.97 ;  ; 0.233010242235268 ; 0.84 ; 
ExcessivePublicCount ; 0.29439563056532 ; 0.92 ;  ; 0.319445029092519 ; 0.576666666666667 ; 
TooManyFields ; 0.294395630565318 ; 0.816666666666667 ;  ; 0.169093658484218 ; 0.963333333333333 ; 
TooManyMethods ; 0.221476611923894 ; 0.98 ;  ; 0.339674816475396 ; 0.496666666666667 ; 
TooManyPublicMethods ; 0.126625413685676 ; 1 ;  ; 0.246606814313298 ; 0.823333333333333 ; 
ExcessiveClassComplexity ; 0.1759870648231 ; 0.99 ;  ; 0.396622069372867 ; 0.183333333333333 ; 
NumberOfChildren ; 0.159053504042994 ; 0.996666666666667 ;  ; 0.335792813925022 ; 0.273333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0799651243727743 ; 0.996666666666667 ;  ; 0.274549320054329 ; 0.54 ; 
DevelopmentCodeFragment ; 0.220516381659997 ; 0.936666666666667 ;  ; 0.358113757606453 ; 0.28 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.221476611923894 ; 0.943333333333333 ;  ; 0.338274932133207 ; 0.393333333333333 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.294395630565318 ; 0.826666666666667 ;  ; 0.437560183996495 ; 0.17 ; 
embed.JS ; 0.294395630565318 ; 0.54 ;  ; 0.419284759035096 ; 0.256666666666667 ; 
inline.JS ; 0.147812941276445 ; 0 ; * ; 0.1444704192515 ; 0.933333333333333 ; 
embed.CSS ; 0.0997421164330053 ; 0 ; * ; 0.246678775833382 ; 0.526666666666667 ; 
inline.CSS ; 0.294395630565318 ; 0 ; * ; 0.311967590363053 ; 0.676666666666667 ; 
css.in.JS ; 0.147812941276445 ; 0.943333333333333 ;  ; 0.244986030820389 ; 0.51 ; 
css.in.JS..jquery ; 0.159053504042994 ; 1 ;  ; 0.318340610153555 ; 0.37 ; 
max.lines ; 0.22220635938112 ; 0.876666666666667 ;  ; 0.295862051701431 ; 0.733333333333333 ; 
max.lines.per.function ; 0.294395630565318 ; 0.783333333333333 ;  ; 0.299229437629803 ; 0.67 ; 
max.params ; 0.22220635938112 ; 0.946666666666667 ;  ; 0.329939324614442 ; 0.49 ; 
complexity ; 0.221476611923894 ; 0.816666666666667 ;  ; 0.287192409116827 ; 0.733333333333333 ; 
max.depth ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
max.nested.callbacks ; 0.159053504042994 ; 0.97 ;  ; 0.432671576368432 ; 0.05 ; *
