CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.190474525879163 ; 0.03 ; * ; 0.104852317273932 ; 0.916666666666667 ; 
NPathComplexity ; 0.231454403711941 ; 0.0166666666666667 ; * ; 0.104852317273932 ; 0.89 ; 
ExcessiveMethodLength ; 0.294364409319471 ; 0.12 ;  ; 0.23379113603773 ; 0.33 ; 
ExcessiveClassLength ; 0.255141799847136 ; 0.296666666666667 ;  ; 0.153034524923642 ; 0.683333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.273340780831576 ; 0.213333333333333 ;  ; 0.145865183293326 ; 0.846666666666667 ; 
TooManyFields ; 0.269958602706799 ; 0.213333333333333 ;  ; 0.182276731290716 ; 0.65 ; 
TooManyMethods ; 0.341939846145911 ; 0.0666666666666667 ;  ; 0.183353405704225 ; 0.566666666666667 ; 
TooManyPublicMethods ; 0.254721068078368 ; 0.293333333333333 ;  ; 0.245173130342334 ; 0.253333333333333 ; 
ExcessiveClassComplexity ; 0.197572568928702 ; 0.0266666666666667 ; * ; 0.15600468296055 ; 0.583333333333333 ; 
NumberOfChildren ; 0.197303594496872 ; 0.6 ;  ; 0.213890099873374 ; 0.416666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.137854849794307 ; 0.783333333333333 ;  ; 0.179469867586633 ; 0.44 ; 
DevelopmentCodeFragment ; 0.164243849976048 ; 0.626666666666667 ;  ; 0.115849828556371 ; 0.93 ; 
UnusedPrivateField ; 0.234690279166938 ; 0.46 ;  ; 0.176974374795215 ; 0.44 ; 
UnusedLocalVariable ; 0.260836227175047 ; 0.356666666666667 ;  ; 0.242021221289937 ; 0.273333333333333 ; 
UnusedPrivateMethod ; 0.226145803531864 ; 0.14 ;  ; 0.136945414456546 ; 0.643333333333333 ; 
UnusedFormalParameter ; 0.245759010674701 ; 0.0133333333333333 ; * ; 0.12350867133297 ; 0.766666666666667 ; 
embed.JS ; 0.349501469141222 ; 0.08 ;  ; 0.276097826300394 ; 0.193333333333333 ; 
inline.JS ; 0.271416742134912 ; 0.0533333333333333 ;  ; 0.0967257268321995 ; 0.943333333333333 ; 
embed.CSS ; 0.158023206691787 ; 0.556666666666667 ;  ; 0.089255620708812 ; 0.98 ; 
inline.CSS ; 0.218245310322459 ; 0.0666666666666667 ;  ; 0.14207370464705 ; 0.626666666666667 ; 
css.in.JS ; 0.255234682859363 ; 0.146666666666667 ;  ; 0.210690298606271 ; 0.403333333333333 ; 
css.in.JS..jquery ; 0.334624154189301 ; 0.0633333333333333 ;  ; 0.174065509404091 ; 0.593333333333333 ; 
max.lines ; 0.187035488080112 ; 0.55 ;  ; 0.136396000986666 ; 0.793333333333333 ; 
max.lines.per.function ; 0.25552273102095 ; 0.43 ;  ; 0.256344638789763 ; 0.286666666666667 ; 
max.params ; 0.251334611683977 ; 0.336666666666667 ;  ; 0.144878469910623 ; 0.776666666666667 ; 
complexity ; 0.133534226313033 ; 0.71 ;  ; 0.16273733222373 ; 0.543333333333333 ; 
max.depth ; 0.254869205217425 ; 0.21 ;  ; 0.166698183685311 ; 0.613333333333333 ; 
max.nested.callbacks ; 0.197350799239107 ; 0.593333333333333 ;  ; 0.22956762886049 ; 0.246666666666667 ; 
