CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.351029507320887 ; 0.0966666666666667 ;  ; 0.315200343836237 ; 0.16 ; 
NPathComplexity ; 0.279101221797879 ; 0.236666666666667 ;  ; 0.205896728829677 ; 0.48 ; 
ExcessiveMethodLength ; 0.362937503693392 ; 0.0266666666666667 ; * ; 0.21456398407323 ; 0.52 ; 
ExcessiveClassLength ; 0.203560432725939 ; 0.483333333333333 ;  ; 0.0860248243138292 ; 0.946666666666667 ; 
ExcessiveParameterList ; 0.181646740988176 ; 0.69 ;  ; 0.283756485250728 ; 0.21 ; 
ExcessivePublicCount ; 0.279327811613324 ; 0.203333333333333 ;  ; 0.145580598476302 ; 0.696666666666667 ; 
TooManyFields ; 0.189296993314661 ; 0.666666666666667 ;  ; 0.0973008288159764 ; 0.916666666666667 ; 
TooManyMethods ; 0.240055906681483 ; 0.343333333333333 ;  ; 0.147372709307959 ; 0.696666666666667 ; 
TooManyPublicMethods ; 0.142099898084697 ; 0.866666666666667 ;  ; 0.160873318704107 ; 0.676666666666667 ; 
ExcessiveClassComplexity ; 0.14890595537605 ; 0.75 ;  ; 0.139852491880886 ; 0.773333333333333 ; 
NumberOfChildren ; 0.176334316054845 ; 0.853333333333333 ;  ; 0.170464835864281 ; 0.48 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.189680823556965 ; 0.936666666666667 ;  ; 0.144636481773952 ; 0.65 ; 
DevelopmentCodeFragment ; 0.328571137165844 ; 0.283333333333333 ;  ; 0.157590716926572 ; 0.8 ; 
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.353157638419719 ; 0.15 ;  ; 0.189540894612223 ; 0.59 ; 
UnusedPrivateMethod ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
UnusedFormalParameter ; 0.154915000862264 ; 0.89 ;  ; 0.15209128029903 ; 0.776666666666667 ; 
embed.JS ; 0.274371278680319 ; 0.363333333333333 ;  ; 0.187102013124273 ; 0.526666666666667 ; 
inline.JS ; 0.210177146817119 ; 0.65 ;  ; 0.147318044203209 ; 0.773333333333333 ; 
embed.CSS ; 0.311667890621931 ; 0.00666666666666667 ; * ; 0.112320516175295 ; 0.81 ; 
inline.CSS ; 0.192516177122109 ; 0.01 ; * ; 0.198808087118785 ; 0.45 ; 
css.in.JS ; 0.180727590092895 ; 0 ; * ; 0.0582663361773813 ; 0.98 ; 
css.in.JS..jquery ; 0.186960493214149 ; 0.56 ;  ; 0.187046475935953 ; 0.516666666666667 ; 
max.lines ; 0.180186925294915 ; 0.713333333333333 ;  ; 0.0914436356873081 ; 0.933333333333333 ; 
max.lines.per.function ; 0.207032168748205 ; 0.71 ;  ; 0.176219265687551 ; 0.66 ; 
max.params ; 0.193936487200559 ; 0.463333333333333 ;  ; 0.0794126637150258 ; 0.946666666666667 ; 
complexity ; 0.249267724770419 ; 0.343333333333333 ;  ; 0.19077660069946 ; 0.546666666666667 ; 
max.depth ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
max.nested.callbacks ; 0.176334316054845 ; 0.576666666666667 ;  ; 0.19352260172268 ; 0.36 ; 
