CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.243481223064221 ; 0.00666666666666667 ; * ; 0.246108696421357 ; 0.376666666666667 ; 
NPathComplexity ; 0.240824375579485 ; 0.00666666666666667 ; * ; 0.292991512812618 ; 0.13 ; 
ExcessiveMethodLength ; 0.298596252741326 ; 0.4 ;  ; 0.270532510100785 ; 0.526666666666667 ; 
ExcessiveClassLength ; 0.204736946398969 ; 0.81 ;  ; 0.163253252078789 ; 0.933333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.237097731220154 ; 0.45 ;  ; 0.194653550676754 ; 0.92 ; 
TooManyFields ; 0.263854208374416 ; 0.66 ;  ; 0.210227455134982 ; 0.873333333333333 ; 
TooManyMethods ; 0.313240514736971 ; 0.37 ;  ; 0.242095119530404 ; 0.663333333333333 ; 
TooManyPublicMethods ; 0.284052335035322 ; 0.59 ;  ; 0.241819958543263 ; 0.563333333333333 ; 
ExcessiveClassComplexity ; 0.240956748287093 ; 0.00666666666666667 ; * ; 0.395293844900031 ; 0.00333333333333333 ; *
NumberOfChildren ; 0.245535606936335 ; 0.73 ;  ; 0.262820611956087 ; 0.486666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.191280585113076 ; 0.82 ;  ; 0.130125211180638 ; 0.933333333333333 ; 
DevelopmentCodeFragment ; 0.225447221126293 ; 0.573333333333333 ;  ; 0.146901641658157 ; 0.953333333333333 ; 
UnusedPrivateField ; 0.196471949522237 ; 0.996666666666667 ;  ; 0.220936595381014 ; 0.413333333333333 ; 
UnusedLocalVariable ; 0.270771909819527 ; 0.00666666666666667 ; * ; 0.213056225142478 ; 0.78 ; 
UnusedPrivateMethod ; 0.129845581739162 ; 0.82 ;  ; 0.0749329566615822 ; 0.996666666666667 ; 
UnusedFormalParameter ; 0.247944816922917 ; 0.01 ; * ; 0.322187406960828 ; 0.0966666666666667 ; 
embed.JS ; 0.254484662654164 ; 0.78 ;  ; 0.299497986800924 ; 0.49 ; 
inline.JS ; 0.208246908915271 ; 0.496666666666667 ;  ; 0.139287319071072 ; 0.883333333333333 ; 
embed.CSS ; 0.214347176277721 ; 0.506666666666667 ;  ; 0.146754223698786 ; 0.946666666666667 ; 
inline.CSS ; 0.219992941378652 ; 0.303333333333333 ;  ; 0.136139921237561 ; 0.896666666666667 ; 
css.in.JS ; 0.216980088506545 ; 0.696666666666667 ;  ; 0.157837969566959 ; 0.946666666666667 ; 
css.in.JS..jquery ; 0.163053949712803 ; 0.956666666666667 ;  ; 0.168851055615775 ; 0.94 ; 
max.lines ; 0.165088185246267 ; 0.88 ;  ; 0.256631574110077 ; 0.446666666666667 ; 
max.lines.per.function ; 0.228849452043272 ; 0.88 ;  ; 0.304340444932283 ; 0.41 ; 
max.params ; 0.209839420212333 ; 0.843333333333333 ;  ; 0.264891946292939 ; 0.523333333333333 ; 
complexity ; 0.164286515970192 ; 0.79 ;  ; 0.111669969425009 ; 0.963333333333333 ; 
max.depth ; 0.23720604731974 ; 0.69 ;  ; 0.251429196956764 ; 0.573333333333333 ; 
max.nested.callbacks ; 0.318059210967579 ; 0.38 ;  ; 0.301755456679614 ; 0.183333333333333 ; 
