CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.287526743623135 ; 0.186666666666667 ;  ; 0.182004278977436 ; 0.513333333333333 ; 
NPathComplexity ; 0.287526743623135 ; 0.186666666666667 ;  ; 0.182004278977436 ; 0.513333333333333 ; 
ExcessiveMethodLength ; 0.287526743623135 ; 0.116666666666667 ;  ; 0.162400821926171 ; 0.593333333333333 ; 
ExcessiveClassLength ; 0.491551024279137 ; 0.00666666666666667 ; * ; 0.334156350755647 ; 0.0833333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
ExcessivePublicCount ; 0.287526743623135 ; 0.12 ;  ; 0.254587343990283 ; 0.233333333333333 ; 
TooManyFields ; 0.553794672491003 ; 0 ; * ; 0.115516557990568 ; 0.816666666666667 ; 
TooManyMethods ; 0.364216966237614 ; 0.03 ; * ; 0.125426257799686 ; 0.756666666666667 ; 
TooManyPublicMethods ; 0.250444415937083 ; 0.32 ;  ; 0.207158514040322 ; 0.4 ; 
ExcessiveClassComplexity ; 0.545983414233517 ; 0 ; * ; 0.181833332959671 ; 0.53 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.234103713215918 ; 0.33 ;  ; 0.401241578683144 ; 0.0166666666666667 ; *
UnusedPrivateField ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedLocalVariable ; 0.25890579228416 ; 0.133333333333333 ;  ; 0.102399336504504 ; 0.873333333333333 ; 
UnusedPrivateMethod ; 0 ; 0 ;  ; 0 ; 0 ; 
UnusedFormalParameter ; 0.210086854472834 ; 0.29 ;  ; 0.162510984959602 ; 0.596666666666667 ; 
embed.JS ; 0.520738258179569 ; 0 ; * ; 0.234189417142204 ; 0.336666666666667 ; 
inline.JS ; 0.139916712424951 ; 0.456666666666667 ;  ; 0.176185264288893 ; 0.546666666666667 ; 
embed.CSS ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
inline.CSS ; 0.406902889390288 ; 0.00666666666666667 ; * ; 0.214393909875529 ; 0.353333333333333 ; 
css.in.JS ; 0.372622796173763 ; 0.00666666666666667 ; * ; 0.428016734293635 ; 0.0133333333333333 ; *
css.in.JS..jquery ; 0.350305358121282 ; 0 ; * ; 0.238609621113885 ; 0.263333333333333 ; 
max.lines ; 0.217392299169576 ; 0.0633333333333333 ;  ; 0.251699662171366 ; 0.273333333333333 ; 
max.lines.per.function ; 0.124978669807584 ; 0 ; * ; 0.0523875925971162 ; 0.796666666666667 ; 
max.params ; 0.124978669807584 ; 0 ; * ; 0.0523875925971162 ; 0.796666666666667 ; 
complexity ; 0.124978669807584 ; 0 ; * ; 0.0523875925971162 ; 0.796666666666667 ; 
max.depth ; 0.348329281095828 ; 0 ; * ; 0.0909248126240049 ; 0.906666666666667 ; 
max.nested.callbacks ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
