CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.624066674056502 ; 0.0466666666666667 ; * ; 0.496389550870554 ; 0.333333333333333 ; 
NPathComplexity ; 0.411270984348546 ; 0.93 ;  ; 0.525776478513905 ; 0.39 ; 
ExcessiveMethodLength ; 0.45020536391651 ; 0.55 ;  ; 0.371599077453938 ; 0.756666666666667 ; 
ExcessiveClassLength ; 0.498549650016034 ; 0.236666666666667 ;  ; 0.361497902710225 ; 0.756666666666667 ; 
ExcessiveParameterList ; 0.338604782656837 ; 0.746666666666667 ;  ; 0.491007543859214 ; 0.473333333333333 ; 
ExcessivePublicCount ; 0.537659813389889 ; 0.55 ;  ; 0.504310758426342 ; 0.393333333333333 ; 
TooManyFields ; 1 ;  all cs=1 ;  ; 0 ; 0 ; 
TooManyMethods ; 0.537659813389889 ; 0.55 ;  ; 0.504310758426342 ; 0.393333333333333 ; 
TooManyPublicMethods ; 0.45020536391651 ; 0.57 ;  ; 0.371599077453938 ; 0.74 ; 
ExcessiveClassComplexity ; 0.526352151959353 ; 0.21 ;  ; 0.199642739459371 ; 0.976666666666667 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2 ; 0 ; 0 ; 
DevelopmentCodeFragment ; 0.487442520979691 ; 0.366666666666667 ;  ; 0.436767809084656 ; 0.71 ; 
UnusedPrivateField ; 0.624066674056502 ; 0.19 ;  ; 0.562642342412322 ; 0.196666666666667 ; 
UnusedLocalVariable ; 0.349258601431626 ; 0.853333333333333 ;  ; 0.500654779271841 ; 0.336666666666667 ; 
UnusedPrivateMethod ; 0.537659813389889 ; 0 ; * ; 0.379064795911023 ; 0.716666666666667 ; 
UnusedFormalParameter ; 0.544553103911843 ; 0.48 ;  ; 0.423450880136095 ; 0.586666666666667 ; 
embed.JS ; 0.361677611825585 ; 0.436666666666667 ;  ; 0.341898895558121 ; 0.516666666666667 ; 
inline.JS ; 0.537659813389889 ; 0 ; * ; 0.379252601541944 ; 0.623333333333333 ; 
embed.CSS ; 0.499446498221487 ; 0.64 ;  ; 0.547883485935056 ; 0.286666666666667 ; 
inline.CSS ; 0.45020536391651 ; 0.563333333333333 ;  ; 0.291610346437643 ; 0.896666666666667 ; 
css.in.JS ; 0.505562716720948 ; 0.606666666666667 ;  ; 0.580060488427796 ; 0.353333333333333 ; 
css.in.JS..jquery ; 0.525554467787233 ; 0.23 ;  ; 0.257615978323704 ; 0.963333333333333 ; 
max.lines ; 0.45020536391651 ; 0 ; * ; 0.36935045160678 ; 0.736666666666667 ; 
max.lines.per.function ; 0.361292778919562 ; 0.7 ;  ; 0.505520926970709 ; 0.38 ; 
max.params ; 0.537659813389889 ; 0 ; * ; 0.463663469561183 ; 0.393333333333333 ; 
complexity ; 0.624066674056502 ; 0 ; * ; 0.564956977717972 ; 0.246666666666667 ; 
max.depth ; 0.45020536391651 ; 0.55 ;  ; 0.371599077453938 ; 0.756666666666667 ; 
max.nested.callbacks ; 0.462708472458247 ; 0.793333333333333 ;  ; 0.694871846676322 ; 0.0866666666666667 ; 
