CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0913446689175697 ; 0.08 ;  ; 0.0676019335652503 ; 0.813333333333333 ; 
NPathComplexity ; 0.0913446689175697 ; 0.08 ;  ; 0.0676019335652503 ; 0.79 ; 
ExcessiveMethodLength ; 0.21094992977964 ; 0.01 ; * ; 0.0698919741469924 ; 0.706666666666667 ; 
ExcessiveClassLength ; 0.133866705164819 ; 0.143333333333333 ;  ; 0.109838109835627 ; 0.376666666666667 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.12387470094226 ; 0.25 ;  ; 0.127908799805693 ; 0.25 ; 
TooManyFields ; 0.162233200212163 ; 0.07 ;  ; 0.0918274390915688 ; 0.55 ; 
TooManyMethods ; 0.301611208549198 ; 0 ; * ; 0.0779130519099202 ; 0.693333333333333 ; 
TooManyPublicMethods ; 0.146156238295743 ; 0.113333333333333 ;  ; 0.116983338689245 ; 0.32 ; 
ExcessiveClassComplexity ; 0.103694672602098 ; 0.0466666666666667 ; * ; 0.109991348524286 ; 0.386666666666667 ; 
NumberOfChildren ; 0.138239795620672 ; 0.123333333333333 ;  ; 0.120193137819901 ; 0.283333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.111798205887858 ; 0.26 ;  ; 0.0571106406326755 ; 0.826666666666667 ; 
DevelopmentCodeFragment ; 0.132587741435494 ; 0.13 ;  ; 0.0907065379219876 ; 0.523333333333333 ; 
UnusedPrivateField ; 0.116780894952816 ; 0.126666666666667 ;  ; 0.0868662313565132 ; 0.65 ; 
UnusedLocalVariable ; 0.159630784255743 ; 0.0966666666666667 ;  ; 0.137551435064105 ; 0.166666666666667 ; 
UnusedPrivateMethod ; 0.218073684646136 ; 0 ; * ; 0.0884054451617763 ; 0.5 ; 
UnusedFormalParameter ; 0.0663851248363947 ; 0.146666666666667 ;  ; 0.102183090429064 ; 0.416666666666667 ; 
embed.JS ; 0.208055479243923 ; 0.00666666666666667 ; * ; 0.192384806991508 ; 0.0366666666666667 ; *
inline.JS ; 0.140252521871977 ; 0.0333333333333333 ; * ; 0.108541979057206 ; 0.353333333333333 ; 
embed.CSS ; 0.119465986444827 ; 0.213333333333333 ;  ; 0.109109847250914 ; 0.326666666666667 ; 
inline.CSS ; 0.140252521871977 ; 0.00333333333333333 ; * ; 0.132705680826962 ; 0.163333333333333 ; 
css.in.JS ; 0.110610551374618 ; 0.306666666666667 ;  ; 0.100586352757029 ; 0.386666666666667 ; 
css.in.JS..jquery ; 0.275554041949207 ; 0 ; * ; 0.0742781198588615 ; 0.71 ; 
max.lines ; 0.159955148421339 ; 0.07 ;  ; 0.129135653496575 ; 0.18 ; 
max.lines.per.function ; 0.172356102899863 ; 0.1 ;  ; 0.172515536948034 ; 0.0866666666666667 ; 
max.params ; 0.126193856179697 ; 0.173333333333333 ;  ; 0.0661378922581167 ; 0.8 ; 
complexity ; 0.111798205887858 ; 0.173333333333333 ;  ; 0.0594876801416962 ; 0.82 ; 
max.depth ; 0.186806043788728 ; 0.02 ; * ; 0.131822538648809 ; 0.236666666666667 ; 
max.nested.callbacks ; 0.0966083969251792 ; 0.493333333333333 ;  ; 0.106682153199932 ; 0.343333333333333 ; 
