CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.273680863599168 ; 0.00333333333333333 ; * ; 0.329327593504804 ; 0.44 ; 
NPathComplexity ; 0.331804137266469 ; 0.99 ;  ; 0.317853952668367 ; 0.663333333333333 ; 
ExcessiveMethodLength ; 0.222764053066593 ; 1 ;  ; 0.32918448115718 ; 0.75 ; 
ExcessiveClassLength ; 0.285047080523562 ; 0.993333333333333 ;  ; 0.40981699711815 ; 0.416666666666667 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.366629561851869 ; 0.976666666666667 ;  ; 0.407094391869977 ; 0.413333333333333 ; 
TooManyFields ; 0.322457567728853 ; 0.996666666666667 ;  ; 0.350612588084944 ; 0.543333333333333 ; 
TooManyMethods ; 0.241421431929269 ; 0.993333333333333 ;  ; 0.319543537688052 ; 0.78 ; 
TooManyPublicMethods ; 0.352104237060164 ; 0.983333333333333 ;  ; 0.465056308627796 ; 0.15 ; 
ExcessiveClassComplexity ; 0.310394344602528 ; 0.986666666666667 ;  ; 0.313889331731719 ; 0.716666666666667 ; 
NumberOfChildren ; 0.330319577057036 ; 0.996666666666667 ;  ; 0.359449949874961 ; 0.663333333333333 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.364574181024987 ; 0 ; * ; 0.31730759593006 ; 0.62 ; 
DevelopmentCodeFragment ; 0.298145713496404 ; 0.98 ;  ; 0.353465473525621 ; 0.473333333333333 ; 
UnusedPrivateField ; 0.183644124719817 ; 1 ;  ; 0.22381192579597 ; 0.373333333333333 ; 
UnusedLocalVariable ; 0.417709020934784 ; 0.00333333333333333 ; * ; 0.433379807884661 ; 0.196666666666667 ; 
UnusedPrivateMethod ; 0.285047080523562 ; 1 ;  ; 0.466914035095856 ; 0.09 ; 
UnusedFormalParameter ; 0.273680863599168 ; 0 ; * ; 0.303545333247885 ; 0.546666666666667 ; 
embed.JS ; 0.406449987609846 ; 0.976666666666667 ;  ; 0.493225859610498 ; 0.0566666666666667 ; 
inline.JS ; 0.285047080523562 ; 0.986666666666667 ;  ; 0.333940334890972 ; 0.52 ; 
embed.CSS ; 0.273680863599168 ; 1 ;  ; 0.371980637498943 ; 0.606666666666667 ; 
inline.CSS ; 0.319386407143533 ; 0.983333333333333 ;  ; 0.258823148846456 ; 0.866666666666667 ; 
css.in.JS ; 0.24090315939997 ; 0.99 ;  ; 0.337916784084909 ; 0.81 ; 
css.in.JS..jquery ; 0.342682404232932 ; 0.983333333333333 ;  ; 0.2627219556178 ; 0.956666666666667 ; 
max.lines ; 0.301252010144307 ; 0.996666666666667 ;  ; 0.370087521338758 ; 0.553333333333333 ; 
max.lines.per.function ; 0.197139474154151 ; 1 ;  ; 0.319713175268061 ; 0.613333333333333 ; 
max.params ; 0.439079424871906 ; 0.906666666666667 ;  ; 0.3424639201415 ; 0.71 ; 
complexity ; 0.319076732697553 ; 1 ;  ; 0.334457298843959 ; 0.66 ; 
max.depth ; 0.274754170335926 ; 0.993333333333333 ;  ; 0.267485278352367 ; 0.75 ; 
max.nested.callbacks ; 0.373522662881718 ; 0.99 ;  ; 0.311359897934511 ; 0.626666666666667 ; 
