CS; r^2; p; issig
CyclomaticComplexity ; 0.0875214109204782 ; 0.160439360312003 ; 
NPathComplexity ; 0.0154556414274052 ; 0.562734568381901 ; 
ExcessiveMethodLength ; 0.0370661852313577 ; 0.367427397400315 ; 
ExcessiveClassLength ; 0.00942220706893576 ; 0.651833337553078 ; 
ExcessiveParameterList ; 0.0439742574211321 ; 0.325377046610034 ; 
ExcessivePublicCount ; 2.15128887314944e-06 ; 0.994572945489292 ; 
TooManyFields ; 0.00891654928697532 ; 0.660744116976902 ; 
TooManyMethods ; 0.215373412946474 ; 0.0223462416506246 ; *
TooManyPublicMethods ; 0.148737162978343 ; 0.0627088548860608 ; 
ExcessiveClassComplexity ; 0.0278878713186222 ; 0.435426278914396 ; 
NumberOfChildren ; 0.00185175632603613 ; 0.841753435605763 ; 
DepthOfInheritance ; 0.160303948682084 ; 0.0525345633572846 ; 
CouplingBetweenObjects ; 0.0670782023723195 ; 0.221684622132811 ; 
DevelopmentCodeFragment ; 0.233114167862365 ; 0.0168594831908322 ; *
UnusedPrivateField ; 0.175009009027293 ; 0.0419087150853803 ; *
UnusedLocalVariable ; 0.0508994109291386 ; 0.289147281368259 ; 
UnusedPrivateMethod ; 0.185233545646709 ; 0.0357856300884491 ; *
UnusedFormalParameter ; 0.189343395511441 ; 0.0335766548703258 ; *
embed.JS ; 0.0230086943019735 ; 0.479225836450105 ; 
inline.JS ; 0.0111857003359046 ; 0.622824038641804 ; 
embed.CSS ; 0.0511282686718659 ; 0.28803680609706 ; 
inline.CSS ; 0.00554337578828795 ; 0.729525555285363 ; 
css.in.JS ; 0.0421689003380715 ; 0.335740252955535 ; 
css.in.JS..jquery ; 0.308716154353499 ; 0.00482015391468099 ; *
max.lines ; 0.168540924128267 ; 0.0462954260525746 ; *
max.lines.per.function ; 0.143420800534082 ; 0.0680153502372075 ; 
max.params ; 0.0110247082272258 ; 0.625351784954986 ; 
complexity ; 0.000268964882204633 ; 0.939371550201279 ; 
max.depth ; 0.115496794323362 ; 0.104202498686003 ; 
max.nested.callbacks ; 0.0475541926750289 ; 0.305989799720197 ; 
