CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.0514139057272621 ; 0.06 ;  ; 0.0175506957856039 ; 0.99 ; 
NPathComplexity ; 0.0514139057272621 ; 0.06 ;  ; 0.0175506957856039 ; 0.99 ; 
ExcessiveMethodLength ; 0.0514139057272621 ; 0.05 ; * ; 0.0236805269052594 ; 0.966666666666667 ; 
ExcessiveClassLength ; 0.0514139057272621 ; 0.06 ;  ; 0.0175506957856039 ; 0.99 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.0748134836329715 ; 0.01 ; * ; 0.0440633598360296 ; 0.683333333333333 ; 
TooManyFields ; 0.0612299724013338 ; 0.0366666666666667 ; * ; 0.0175506957856039 ; 0.993333333333333 ; 
TooManyMethods ; 0.0352680292652562 ; 0.593333333333333 ;  ; 0.0236805269052594 ; 0.94 ; 
TooManyPublicMethods ; 0.0514139057272621 ; 0.0433333333333333 ; * ; 0.0115650289397234 ; 0.996666666666667 ; 
ExcessiveClassComplexity ; 0.0514139057272621 ; 0.0433333333333333 ; * ; 0.0175506957856039 ; 0.993333333333333 ; 
NumberOfChildren ; 0.0550597915277664 ; 0.32 ;  ; 0.0179636609061748 ; 0.97 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.040907524549482 ; 0.543333333333333 ;  ; 0.0315807158057874 ; 0.856666666666667 ; 
DevelopmentCodeFragment ; 0.0612299724013338 ; 0.29 ;  ; 0.0354924615255461 ; 0.79 ; 
UnusedPrivateField ; 0.0678149776821793 ; 0.00666666666666667 ; * ; 0.078235406027054 ; 0.34 ; 
UnusedLocalVariable ; 0.116568510059866 ; 0 ; * ; 0.0894474216626128 ; 0.176666666666667 ; 
UnusedPrivateMethod ; 0.040907524549482 ; 0.0133333333333333 ; * ; 0.0680404691589234 ; 0.35 ; 
UnusedFormalParameter ; 0.0748134836329715 ; 0.01 ; * ; 0.0440633598360296 ; 0.703333333333333 ; 
embed.JS ; 0.0655734136363467 ; 0.36 ;  ; 0.0547794966230351 ; 0.58 ; 
inline.JS ; 0.0770218525848541 ; 0.0633333333333333 ;  ; 0.0797626657288318 ; 0.29 ; 
embed.CSS ; 0.040907524549482 ; 0.44 ;  ; 0.0204451577886924 ; 0.946666666666667 ; 
inline.CSS ; 0.0770218525848541 ; 0.0533333333333333 ;  ; 0.0976547841855611 ; 0.146666666666667 ; 
css.in.JS ; 0.0901899290372894 ; 0.113333333333333 ;  ; 0.0671954077510451 ; 0.356666666666667 ; 
css.in.JS..jquery ; 0.104793737781262 ; 0.0633333333333333 ;  ; 0.0826789986098942 ; 0.226666666666667 ; 
max.lines ; 0.121455521974587 ; 0.03 ; * ; 0.121840856556726 ; 0.0766666666666667 ; 
max.lines.per.function ; 0.0763037241465637 ; 0.286666666666667 ;  ; 0.0798254448529003 ; 0.33 ; 
max.params ; 0.103710961646029 ; 0.06 ;  ; 0.10222525352056 ; 0.116666666666667 ; 
complexity ; 0.055372212404929 ; 0.25 ;  ; 0.0792517695549695 ; 0.23 ; 
max.depth ; 0.0606229052079462 ; 0.276666666666667 ;  ; 0.0183966526651642 ; 0.95 ; 
max.nested.callbacks ; 0.0630484004968257 ; 0.306666666666667 ;  ; 0.0785752959980411 ; 0.25 ; 
