CS; te; p; issig; te2; p2; issig2
CyclomaticComplexity ; 0.23694627536441 ; 0.01 ; * ; 0.155613481276329 ; 0.753333333333333 ; 
NPathComplexity ; 0.232636212706715 ; 0.01 ; * ; 0.201031334470106 ; 0.493333333333333 ; 
ExcessiveMethodLength ; 0.200175630872664 ; 0.75 ;  ; 0.149482331653617 ; 0.91 ; 
ExcessiveClassLength ; 0.187811955856983 ; 0.773333333333333 ;  ; 0.249001204021903 ; 0.453333333333333 ; 
ExcessiveParameterList ; 0 ; 0 ;  ; 0 ; 0 ; 
ExcessivePublicCount ; 0.218019750736215 ; 0.533333333333333 ;  ; 0.285246741794484 ; 0.416666666666667 ; 
TooManyFields ; 0.33962924758722 ; 0.31 ;  ; 0.195584432799542 ; 0.806666666666667 ; 
TooManyMethods ; 0.288639924036189 ; 0.416666666666667 ;  ; 0.19254034941388 ; 0.796666666666667 ; 
TooManyPublicMethods ; 0.149844567153771 ; 0.97 ;  ; 0.136627274400616 ; 0.93 ; 
ExcessiveClassComplexity ; 0.149467664248275 ; 0.0266666666666667 ; * ; 0.255737743771929 ; 0.25 ; 
NumberOfChildren ; 0.271567898828684 ; 0.573333333333333 ;  ; 0.308809597978236 ; 0.196666666666667 ; 
DepthOfInheritance ; 0 ; 0 ;  ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.126698121502738 ; 0.946666666666667 ;  ; 0.102663621332233 ; 0.96 ; 
DevelopmentCodeFragment ; 0.209710208404914 ; 0.593333333333333 ;  ; 0.140559941280846 ; 0.9 ; 
UnusedPrivateField ; 0.182415186248005 ; 1 ;  ; 0.17871433388406 ; 0.616666666666667 ; 
UnusedLocalVariable ; 0.261248190134814 ; 0 ; * ; 0.13137555462104 ; 0.97 ; 
UnusedPrivateMethod ; 0.159614172286008 ; 0.583333333333333 ;  ; 0.0692851418311229 ; 0.986666666666667 ; 
UnusedFormalParameter ; 0.240580318045896 ; 0.00666666666666667 ; * ; 0.229039855653041 ; 0.353333333333333 ; 
embed.JS ; 0.278065974485372 ; 0.586666666666667 ;  ; 0.243417906192191 ; 0.636666666666667 ; 
inline.JS ; 0.189346083856146 ; 0.543333333333333 ;  ; 0.109724500244871 ; 0.93 ; 
embed.CSS ; 0.201607738162329 ; 0.553333333333333 ;  ; 0.140096397731515 ; 0.87 ; 
inline.CSS ; 0.257972759292505 ; 0.16 ;  ; 0.133020973185212 ; 0.82 ; 
css.in.JS ; 0.311186606299598 ; 0.18 ;  ; 0.14132229192352 ; 0.916666666666667 ; 
css.in.JS..jquery ; 0.231851959508386 ; 0.73 ;  ; 0.156088844123458 ; 0.886666666666667 ; 
max.lines ; 0.187811955856983 ; 0.8 ;  ; 0.287890079130409 ; 0.2 ; 
max.lines.per.function ; 0.214181419714532 ; 0.87 ;  ; 0.252895745388977 ; 0.57 ; 
max.params ; 0.363081529557349 ; 0.173333333333333 ;  ; 0.374377004803734 ; 0.02 ; *
complexity ; 0.187811955856983 ; 0.653333333333333 ;  ; 0.201159180188653 ; 0.483333333333333 ; 
max.depth ; 0.193519824929145 ; 0.78 ;  ; 0.242852037649572 ; 0.436666666666667 ; 
max.nested.callbacks ; 0.296463767522785 ; 0.383333333333333 ;  ; 0.429402953029685 ; 0 ; *
