CS; r^2; p; issig
CyclomaticComplexity ; 0.0295803357849401 ; 0.170702430532281 ; 
NPathComplexity ; 0.0233522116967249 ; 0.224260927549969 ; 
ExcessiveMethodLength ; 0.0024102913365902 ; 0.697743328543657 ; 
ExcessiveClassLength ; 2.22691079989108e-05 ; 0.970239507680347 ; 
ExcessiveParameterList ; 0.0639545695396049 ; 0.0421040077803418 ; *
ExcessivePublicCount ; 0 ; 0 ; 
TooManyFields ; 0.0476818410699775 ; 0.0805532680635636 ; 
TooManyMethods ; 0.0714232151657978 ; 0.0313852669138135 ; *
TooManyPublicMethods ; 0.162611831855486 ; 0.000866360299531248 ; *
ExcessiveClassComplexity ; 0.00155465144572376 ; 0.755161697041689 ; 
NumberOfChildren ; 0.116638890299244 ; 0.00536467360028422 ; *
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0.0042634409687304 ; 0.605321601087298 ; 
DevelopmentCodeFragment ; 0 ; 0 ; 
UnusedPrivateField ; 0 ; 0 ; 
UnusedLocalVariable ; 0.166275859587305 ; 0.000747390225222997 ; *
UnusedPrivateMethod ; 0.0507615599298998 ; 0.0711551029174313 ; 
UnusedFormalParameter ; 0.150165721880096 ; 0.00142663182519588 ; *
embed.JS ; 0.0103855345902398 ; 0.419214772391878 ; 
inline.JS ; 0 ; 0 ; 
embed.CSS ; 0.0429254499804641 ; 0.0977244874847927 ; 
inline.CSS ; 0.0840480138710544 ; 0.0191534053638802 ; *
css.in.JS ; 0.00296066127249737 ; 0.6668388600107 ; 
css.in.JS..jquery ; 0.240167636502116 ; 3.41831341433129e-05 ; *
max.lines ; 0.0202832227002194 ; 0.257751649540891 ; 
max.lines.per.function ; 0.0167124346374828 ; 0.304725453205609 ; 
max.params ; 0.014415446504073 ; 0.340762591990954 ; 
complexity ; 0.0125235241334749 ; 0.37479814140875 ; 
max.depth ; 0.0167094772556942 ; 0.304768609125338 ; 
max.nested.callbacks ; 0.00662829187867065 ; 0.519109382988752 ; 
