CS; r^2; p; issig
CyclomaticComplexity ; 0.0866902041838205 ; 0.144270556393047 ; 
NPathComplexity ; 0.046621940212154 ; 0.289418008166607 ; 
ExcessiveMethodLength ; 0.152554940087688 ; 0.0485178455053078 ; *
ExcessiveClassLength ; 0.0111257011061728 ; 0.608077515614464 ; 
ExcessiveParameterList ; 0.00661610736897339 ; 0.692836122637013 ; 
ExcessivePublicCount ; 0.211420112326708 ; 0.0181111566094368 ; *
TooManyFields ; 1 ;  all cs=1 ; 
TooManyMethods ; 0.23827253302106 ; 0.0114092234799097 ; *
TooManyPublicMethods ; 0.0420084447267586 ; 0.315181344467111 ; 
ExcessiveClassComplexity ; 0.00364719161894073 ; 0.769474346574818 ; 
NumberOfChildren ; 0 ; 0 ; unique <=2
DepthOfInheritance ; 0 ; 0 ; 
CouplingBetweenObjects ; 0 ; 0 ; unique <=2
DevelopmentCodeFragment ; 0.0168429403465185 ; 0.527459998181342 ; 
UnusedPrivateField ; 0.119374208148331 ; 0.0838460743879048 ; 
UnusedLocalVariable ; 0.124908980688681 ; 0.0765347823017231 ; 
UnusedPrivateMethod ; 0.0411790642573768 ; 0.320110688647679 ; 
UnusedFormalParameter ; 0.229698750955238 ; 0.0132374335856735 ; *
embed.JS ; 0.0797896276872119 ; 0.162067919022827 ; 
inline.JS ; 0.0369688338104017 ; 0.346701705011211 ; 
embed.CSS ; 0.00582796560702707 ; 0.710889293704474 ; 
inline.CSS ; 0.0497214032764727 ; 0.273545424898885 ; 
css.in.JS ; 0.00984543979167391 ; 0.629624006277713 ; 
css.in.JS..jquery ; 0.0100272218037914 ; 0.626463689462343 ; 
max.lines ; 0.129490460128799 ; 0.0709702395073028 ; 
max.lines.per.function ; 0.190501410061775 ; 0.0257984511828575 ; *
max.params ; 0.0824820045029577 ; 0.15485952396018 ; 
complexity ; 0.0916560882780218 ; 0.132753846556834 ; 
max.depth ; 0.0564100228558306 ; 0.24268275709993 ; 
max.nested.callbacks ; 0.199210462472855 ; 0.0222782059750759 ; *
